"Position","Machine","First Name","Last Name","Classification","Category","Club","Time","url","distance"
"49","TT Bike","Dominic","Whitehead","Open","Vet","Cambridge CC","00:24:40","https://www.cyclingtimetrials.org.uk/race-results/27123#anchor","10 miles"
"49","Road Bike","Chris","Owen","Open","Senior","Cambridge CC","1:55:18","https://www.cyclingtimetrials.org.uk/race-results/27274#anchor","50 miles"
"DNS(A)","TT Bike","Timothy","Welsh","Open","Senior","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27274#anchor","50 miles"
"1","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","00:19:39","https://www.cyclingtimetrials.org.uk/race-results/27121#anchor","10 miles"
"4","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:22:24","https://www.cyclingtimetrials.org.uk/race-results/27121#anchor","10 miles"
"5","TT Bike","Chris","Owen","Open","Senior","Cambridge CC","00:22:27","https://www.cyclingtimetrials.org.uk/race-results/27121#anchor","10 miles"
"5","TT Bike","Martin","Reynolds","Open","Vet","Cambridge CC","00:22:27","https://www.cyclingtimetrials.org.uk/race-results/27121#anchor","10 miles"
"10","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","00:22:57","https://www.cyclingtimetrials.org.uk/race-results/27121#anchor","10 miles"
"28","Road Bike","Lucy","Griffin","Female","Senior","Cambridge CC","00:27:01","https://www.cyclingtimetrials.org.uk/race-results/27121#anchor","10 miles"
"1","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","00:17:53","https://www.cyclingtimetrials.org.uk/race-results/27119#anchor","10 miles"
"8","TT Bike","Martin","Reynolds","Open","Vet","Cambridge CC","00:19:56","https://www.cyclingtimetrials.org.uk/race-results/27119#anchor","10 miles"
"34","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","00:22:53","https://www.cyclingtimetrials.org.uk/race-results/27119#anchor","10 miles"
"48","TT Bike","Dominic","Whitehead","Open","Vet","Cambridge CC","00:24:56","https://www.cyclingtimetrials.org.uk/race-results/27119#anchor","10 miles"
"49","TT Bike","Ann","Shuttleworth","Female","Vet","Cambridge CC","00:25:02","https://www.cyclingtimetrials.org.uk/race-results/27119#anchor","10 miles"
"4","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:23:02","https://www.cyclingtimetrials.org.uk/race-results/26686#anchor","10 miles"
"40","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:20:31","https://www.cyclingtimetrials.org.uk/race-results/27270#anchor","10 miles"
